state_id,people,Don't know/Not sure,Refused,18-24,25-34,35-44,45-54,55-64,65-99
1,9026,7,71,386,769,999,1474,2159,3160
2,4345,2,49,310,660,695,867,976,785
3,0,0,0,0,0,0,0,0,0
4,7306,1,87,367,639,720,1055,1531,2905
5,5187,2,51,223,476,501,867,1109,1957
6,14574,0,6,914,1863,2150,2494,2815,4331
7,0,0,0,0,0,0,0,0,0
8,12255,5,105,609,1235,1650,2209,2862,3579
9,8781,3,122,455,818,1189,1593,1865,2735
10,5174,4,47,311,528,641,918,1023,1701
11,3827,5,87,139,398,527,630,796,1244
12,7624,3,84,314,631,803,1112,1597,3079
13,6100,6,57,309,576,744,1142,1339,1926
14,0,0,0,0,0,0,0,0,0
15,7582,2,49,637,1002,1047,1249,1585,2010
16,5896,1,59,228,440,664,971,1338,2194
17,5579,3,19,286,526,672,961,1149,1962
18,8645,8,69,532,901,1117,1464,1803,2750
19,7166,6,59,374,688,859,1202,1473,2504
20,11801,8,61,585,1146,1416,2042,2583,3959
21,11223,8,91,517,986,1394,2148,2652,3426
22,9068,11,48,392,722,995,1563,2113,3223
23,9921,3,77,426,879,1229,1870,2272,3164
24,12812,30,159,355,994,1653,2580,2839,4201
25,21723,23,293,1113,2171,2907,4221,4572,6422
26,10499,7,100,598,834,1211,1830,2372,3546
27,12246,9,120,680,1360,1667,2339,2636,3434
28,7788,6,49,342,664,801,1303,1775,2847
29,6754,3,65,335,616,735,1134,1438,2427
30,8679,2,46,460,948,950,1497,1946,2829
31,19173,14,88,1016,1895,2202,3200,4031,6726
32,4846,7,70,271,531,616,780,1001,1569
33,7530,3,94,249,535,863,1399,1746,2640
34,15761,28,193,746,1709,2334,3068,3214,4468
35,8776,3,81,575,966,1085,1534,1915,2616
36,6060,8,87,428,763,793,1102,1157,1721
37,11898,7,121,684,1350,1627,2055,2369,3684
38,4879,2,41,253,520,551,864,1061,1586
39,13026,10,100,617,1202,1580,2356,3076,4084
40,8015,0,27,396,926,982,1310,1760,2613
41,5302,4,56,251,497,581,818,1251,1843
42,19958,9,238,1059,1887,2351,3537,4246,6630
43,0,0,0,0,0,0,0,0,0
44,5480,4,69,250,518,730,1019,1200,1689
45,12795,8,97,632,1195,1477,2102,2840,4443
46,7878,0,48,509,981,949,1345,1661,2384
47,7056,7,60,301,643,810,1266,1597,2371
48,9129,7,70,600,1100,1334,1483,1826,2708
49,12436,17,92,852,1705,2035,2070,2295,3369
50,6056,2,42,280,485,712,1109,1433,1992
51,7398,8,90,342,778,1005,1356,1562,2256
52,0,0,0,0,0,0,0,0,0
53,15319,6,165,772,1374,1917,2611,3500,4973
54,5409,2,26,301,488,689,893,1302,1707
55,5299,4,28,262,521,632,1000,1206,1645
56,6273,6,76,215,487,571,988,1512,2417
66,2031,4,14,269,413,436,376,296,222
72,6323,3,36,567,825,905,1015,1105,1866
